filename,width,height,class,xmin,ymin,xmax,ymax
90N8Y54JY12X_jpg.rf.ee20ca654e7cb1dc41ad0b6c9e69c484.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,23,67,377,320
JWV5GCZHORSJ_jpg.rf.ecf88a40175a121e61416a1316d43006.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,16,59,349,403
GFA3ARQQN32L_jpg.rf.ed53a88c06ce9ea21414827420ffe804.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,50,88,366,389
B8B9G27Y3MWT_jpg.rf.ed9327db4342750466db37bba355d177.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,42,128,360,394
HORRQZJNB1F4_jpg.rf.ed2c9f28f57b4957d57a591f084ec0ae.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,62,15,415,383
HCJLLJP0L5XE_jpg.rf.ed7f82d94ed839000fda6e7ee414db6d.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,0,0,415,415
GSFL8NBAHHVD_jpg.rf.ef88aebc1e217bcf0d40f56015fb208d.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,27,67,414,414
523ARRK18TW5_jpg.rf.ed65dac30afd1daecba0053d8a975b54.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,34,51,408,377
72HDHWUQOMDT_jpg.rf.ecfabb9060466f739fc81a1da1aed072.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,2,34,411,382
HT5MXZLU57AS_jpg.rf.eeae4bc379c9858e651b8231c7705484.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,2,27,415,415
10I88P2H4019_jpg.rf.ef3997dbfa2c7ae86afa1b094e05caa5.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,2,11,409,411
ISQFHFVVVF2C_jpg.rf.efe050816892baca4d772de652e70d68.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,2,35,415,399
73FOYQ4EPSJV_jpg.rf.f099d00309868a31d78f4778f1efc689.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,2,3,415,415
6IWJ5BMEAKBE_jpg.rf.ef59952f8e7d14d67789b469952edc5f.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,2,23,400,337
JWV5GCZHORSJ_jpg.rf.f0385a749d9cbf9a12acf766a37b3fd6.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,34,59,344,380
44Q1UGA7TW9F_jpg.rf.f03c26494db260faaf9234e53b1c7d68.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,2,48,401,375
7PIU8XF6UOYO_jpg.rf.f23c27ce96092d7b48acd04bd1319606.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,17,46,326,395
6XFCUKZBCU5E_jpg.rf.ef46ffd3a9dd753b81c19af06e4c1e66.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,4,48,415,414
MKP4DHGRIRBG_jpg.rf.f0dbdcff2d0a6247b4a92c30c2094b33.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,2,80,404,392
A38B3Q2HGJ8S_jpg.rf.eed4c07f1063bcce08db454b745e2ec5.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,26,35,392,405
5MTCDHI7OHSL_jpg.rf.f026778cacd9f0121152be02b22fb3bc.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,70,4,342,367
GJOJC45RIQ6V_jpg.rf.ecff8843f8853497c111d735e1c18080.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,35,53,412,372
5BN2HRM1K0OR_jpg.rf.f3660282cb0362cc41ef022134cf59f1.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,55,76,340,354
713E810A8ERS_jpg.rf.ef0088c05ed5063acc3e9e05b6dad778.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,0,48,415,415
FCIJQHP6VXSC_jpg.rf.f443c275449f38a3596c85769c66df89.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,15,37,414,413
MTVMBUFADZ06_jpg.rf.f418b61fdcd5dfde20898deae22dd38f.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,68,158,301,382
JYULTLWVSNA2_jpg.rf.f3665ecd01760acb85f800e9567aa491.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,30,18,394,395
8ZO0HK5SFBPC_jpg.rf.f0ea07afdb663b9b8e0dda341f3ad34b.jpg,416,416,Fruit salad-130kcal- Shrimp salad-142kcal- vegetable salad-148kcal- chicken salad-220kcal- sweet pumpkin salad-180kcal- sweet potato salad-190kcal- Potato salad-262kcal- Tuna salad-205kcal-,40,106,404,345
